年份,月份,区域,销售额(万元)
2024,1月,华东,59.4
2024,1月,华北,56.2
2024,1月,华南,40.6
2024,2月,华东,64.3
2024,2月,华北,42.8
2024,2月,华南,35.7
2024,3月,华东,79.6
2024,3月,华北,62.5
2024,3月,华南,47.4
2024,4月,华东,77.2
2024,4月,华北,73.1
2024,4月,华南,52.8
2024,5月,华东,97.1
2024,5月,华北,64.7
2024,5月,华南,53.9
2024,6月,华东,83.3
2024,6月,华北,65.4
2024,6月,华南,49.6
2024,7月,华东,85.7
2024,7月,华北,81.2
2024,7月,华南,58.7
2024,8月,华东,107.3
2024,8月,华北,71.5
2024,8月,华南,59.6
2024,9月,华东,88.6
2024,9月,华北,69.6
2024,9月,华南,52.7
2024,10月,华东,93.2
2024,10月,华北,88.3
2024,10月,华南,63.7
2024,11月,华东,125.4
2024,11月,华北,83.6
2024,11月,华南,69.6
2024,12月,华东,131.2
2024,12月,华北,103.1
2024,12月,华南,78.2
2025,1月,华东,68.0
2025,1月,华北,64.4
2025,1月,华南,46.5
2025,2月,华东,74.4
2025,2月,华北,49.6
2025,2月,华南,41.3
2025,3月,华东,91.9
2025,3月,华北,72.2
2025,3月,华南,54.6
2025,4月,华东,89.5
2025,4月,华北,84.8
2025,4月,华南,61.3
2025,5月,华东,111.7
2025,5月,华北,74.5
2025,5月,华南,62.0
2025,6月,华东,96.2
2025,6月,华北,75.6
2025,6月,华南,57.3
2025,7月,华东,99.5
2025,7月,华北,94.2
2025,7月,华南,68.1
2025,8月,华东,123.9
2025,8月,华北,82.6
2025,8月,华南,68.8
2025,9月,华东,102.4
2025,9月,华北,80.4
2025,9月,华南,60.9
2025,10月,华东,107.3
2025,10月,华北,101.7
2025,10月,华南,73.5
2025,11月,华东,142.1
2025,11月,华北,94.7
2025,11月,华南,79.0
2025,12月,华东,150.4
2025,12月,华北,118.2
2025,12月,华南,89.6
